sat.Earth.RadPer          sat.Earth.RadApo          sat.Earth.Energy          sat.Earth.SMA             sat.Earth.SemilatusRectum   sat.Earth.HMAG            sat.EarthMJ2000Eq.HX      sat.EarthMJ2000Eq.HY      sat.EarthMJ2000Eq.HZ      sat.EarthMJ2000Eq.X       sat.EarthMJ2000Eq.Y       sat.EarthMJ2000Eq.Z       sat.EarthMJ2000Eq.VX      sat.EarthMJ2000Eq.VY      sat.EarthMJ2000Eq.VZ      
14999.99999999999         105000.0000000001         -3.321670345833331        60000.00000000004         26249.99999999997           102290.0854891372         -71104.59089498752        -52835.43645781396        51145.04274456859         20335.67334857766         -6912.068196538762        21131.22867903336         1.102798505242097         2.140200795088907         3.744106357034216         
14999.99999999999         105000                    -3.321670345833335        59999.99999999998         26249.99999999997           102290.0854891372         -71104.59089498752        -52835.43645781397        51145.04274456859         20401.31032969921         -6783.476994814718        21355.32200935268         1.085141824241562         2.146137058656282         3.725691551765614         
14999.99999999999         105000                    -3.321670345833335        59999.99999999998         26249.99999999998           102290.0854891372         -71104.59089498752        -52835.43645781398        51145.04274456861         20597.07766335303         -6384.951133407298        22039.18582332825         1.032229326564004         2.163137395712206         3.669691964735858         
14999.99999999996         105000.0000000008         -3.321670345833313        60000.00000000036         26249.99999999999           102290.0854891372         -71104.59089498753        -52835.43645781398        51145.04274456862         21135.69999188026         -5154.752987521159        24058.86496995076         0.884147902309624         2.204207985617941         3.506249212536906         
14999.99999999983         105000.0000000133         -3.32167034583297         60000.00000000656         26250.00000000018           102290.0854891376         -71104.59089498781        -52835.43645781418        51145.04274456882         21785.84065519767         -3319.5141575407          26858.62077797445         0.6975613663372945        2.241340083500931         3.285205918760718         
14999.99999999975         105000.0000000235         -3.321670345832691        60000.00000001161         26250.00000000036           102290.0854891379         -71104.59089498805        -52835.43645781436        51145.04274456899         22350.78161386368         -1223.292298960528        29809.5361444943          0.5218569405677128        2.259726753210513         3.05992653731183          
14999.99999999973         105000.0000000283         -3.321670345832557        60000.00000001402         26250.00000000047           102290.0854891381         -71104.5908949882         -52835.43645781446        51145.04274456909         22799.99198051939         1088.963217162154         32822.73039506588         0.3619000417264232        2.260489329221445         2.838333628040589         
14999.99999999975         105000.0000000287         -3.321670345832548        60000.0000000142          26250.00000000049           102290.0854891382         -71104.59089498821        -52835.43645781448        51145.04274456912         23120.61820430961         3602.655747606979         35865.25475498797         0.2178017373465469        2.246034555242987         2.623067891952949         
14999.99999999977         105000.0000000266         -3.321670345832604        60000.00000001317         26250.00000000047           102290.0854891381         -71104.59089498819        -52835.43645781447        51145.0427445691          23304.01687091718         6314.633444114472         38921.83666458563         0.08841085096974985       2.218644328456943         2.414886217700426         
14999.99999999983         105000.0000000232         -3.321670345832696        60000.00000001152         26250.00000000044           102290.0854891381         -71104.59089498813        -52835.43645781446        51145.04274456907         23341.69712049331         9227.950656573004         41983.82697268585         -0.02771795939033475      2.180186921298662         2.213709233737271         
