sat.Earth.RadPer          sat.Earth.RadApo          sat.Earth.Energy          sat.Earth.SMA             sat.Earth.SemilatusRectum   sat.EarthMJ2000Eq.HX      sat.EarthMJ2000Eq.HY      sat.EarthMJ2000Eq.HZ      sat.Earth.HMAG            sat.EarthMJ2000Eq.X       sat.EarthMJ2000Eq.Y       sat.EarthMJ2000Eq.Z       
15000.00000000003         105000                    -3.321670345833334        60000                     26250.00000000004           -0                        0                         102290.0854891373         102290.0854891373         92551.32064415696         -49590.8564860745         0                         
15000.00000000003         105000                    -3.321670345833333        60000.00000000001         26250.00000000005           1.861221278038423e-15     3.474982902459503e-15     102290.0854891373         102290.0854891373         92578.86955090612         -49539.30422353267        -1.579104442054743e-18    
15000.00000000003         105000                    -3.321670345833334        60000                     26250.00000000004           2.229735625754949e-15     4.168659282964232e-15     102290.0854891373         102290.0854891373         92669.29546767472         -49368.11814867672        -8.106020353436691e-18    
15000.00000000001         104999.9999999999         -3.321670345833335        59999.99999999998         26250.00000000004           1.087216182398957e-14     2.044469195940926e-14     102290.0854891373         102290.0854891373         92934.41482820897         -48847.70017043825        -1.145938442012114e-16    
15000.00000000002         104999.9999999999         -3.321670345833334        59999.99999999999         26250.00000000004           1.466229875187994e-15     3.558379706840172e-15     102290.0854891373         102290.0854891373         93650.57269266163         -47274.5679118402         3.021563179743999e-16     
15000.00000000003         104999.9999999999         -3.321670345833334        59999.99999999999         26250.00000000004           -3.707977721948601e-14    -7.464905875825996e-14    102290.0854891373         102290.0854891373         94546.46353168917         -44778.97055939667        1.594033277446157e-15     
15000.00000000003         105000                    -3.321670345833334        60000                     26250.00000000004           9.054180407826747e-14     2.022079188249835e-13     102290.0854891373         102290.0854891373         95202.32603212936         -42169.70517928142        -9.066570742149502e-16    
15000.00000000005         105000                    -3.321670345833333        60000.00000000001         26250.00000000005           1.41496844927582e-13      3.181643486427592e-13     102290.0854891373         102290.0854891373         95613.05677189099         -39451.88032181341        -9.548961242057362e-15    
15000.00000000002         105000                    -3.321670345833333        60000.00000000001         26250.00000000007           1.217771075651528e-13     2.703420456586952e-13     102290.0854891373         102290.0854891373         95772.62307160429         -36630.44903032869        -1.720755720278369e-14    
15000.00000000005         105000                    -3.321670345833333        60000.00000000001         26250.00000000007           7.614807489621752e-14     1.514663906658848e-13     102290.0854891374         102290.0854891374         95673.96023919294         -33710.28987037285        -2.130618959329279e-14    
