sat4.Earth.SMA	sat4.Earth.ECC	sat4.Earth.RadPer	sat4.Earth.Energy	sat4.Earth.HMAG	sat4.Earth.RMAG	sat4.EarthMJ2000Eq.VMAG	sat4.Earth.TA	sat4.EarthMJ2000Eq.FPA	Column1
642590	0.9851	9574.591	-0.310151451	87040.26367	9574.591	9.090755278	0	90	
642589.7521	0.985099994	9574.590997	-0.31015157	87040.26353	9582.296777	9.087071836	3.262276981	88.38110802	
642588.9229	0.985099975	9574.590969	-0.310151971	87040.26299	9650.959494	9.054444948	10.24564762	84.91573054	
642587.6379	0.985099945	9574.59091	-0.310152591	87040.26207	9798.273037	8.985602999	17.44651395	81.34272994	
642585.9791	0.985099907	9574.590821	-0.310153392	87040.26082	10017.80909	8.885834777	24.37765002	77.90406942	
642583.8997	0.985099859	9574.590699	-0.310154395	87040.25921	10319.1832	8.754082091	31.28483489	74.47800101	
642581.2054	0.985099797	9574.590527	-0.310155696	87040.25707	10740.23428	8.57935544	38.62049372	70.8404452	
642578.3556	0.985099731	9574.590332	-0.310157071	87040.25474	11217.07695	8.393448237	45.17606771	67.5908791	
642575.4882	0.985099665	9574.590128	-0.310158455	87040.25236	11728.06774	8.206914458	50.95077728	64.72951532	
642572.5355	0.985099597	9574.589912	-0.31015988	87040.24988	12288.19727	8.015922446	56.28935459	62.08538819	
642569.4737	0.985099526	9574.589688	-0.310161358	87040.24732	12909.09847	7.818864311	61.34860974	59.58079028	
642566.305	0.985099453	9574.589465	-0.310162888	87040.2447	13601.27949	7.615239455	66.20801249	57.17639569	
642563.0489	0.985099378	9574.58926	-0.310164459	87040.24212	14376.25928	7.404881232	70.91636451	54.8481114	
642559.7465	0.985099301	9574.589099	-0.310166054	87040.23972	15246.87211	7.187896767	75.5039019	52.58107054	
642556.4755	0.985099226	9574.589027	-0.310167632	87040.23773	16224.5436	6.965282025	79.97603199	50.37270594	
642553.3684	0.985099153	9574.589114	-0.310169132	87040.23654	17313.57706	6.739770143	84.3034613	48.23757827	
642550.6001	0.985099089	9574.589453	-0.310170469	87040.23666	18509.97304	6.51524221	88.43958129	46.19872945	
642548.3514	0.985099036	9574.590164	-0.310171554	87040.23873	19811.93528	6.294288868	92.36518224	44.26561609	
642546.6883	0.985098995	9574.591599	-0.310172357	87040.24435	21395.52653	6.053083668	96.50838017	42.22774095	
642546.2043	0.98509898	9574.593742	-0.310172591	87040.25378	22965.06866	5.838945473	100.0775028	40.47449734	
642547.1677	0.985098997	9574.597434	-0.310172126	87040.27092	24853.55904	5.608527457	103.8167945	38.64026142	
642550.1444	0.985099057	9574.603042	-0.310170689	87040.29774	26905.01662	5.386079595	107.338101	36.91575648	
642555.6021	0.985099171	9574.611204	-0.310168054	87040.33733	29106.74902	5.173831373	110.6252531	35.30875834	
