DefaultSC.Venus.SMA       DefaultSC.Venus.ECC       DefaultSC.VenusMJ200Eq.INC   DefaultSC.VenusMJ200Eq.RAAN   DefaultSC.VenusMJ200Eq.AOP   DefaultSC.Venus.RadPer    DefaultSC.Venus.RadApo    DefaultSC.Venus.OrbitPeriod   DefaultSC.Venus.TA        DefaultSC.Venus.EA        
48414.99999996821         0.6999999999999823        30.00000000000188            60.00000000000464             89.99999999999567            14524.49999999132         82305.49999994511         117436.3620677914             151.0000000000045         116.7643539762847         
48415.00000172653         0.7000000000133766        30.00000000000357            59.99999999999505             90.00000000197021            14524.49999987033         82305.50000358273         117436.3620741889             151.0758460141924         116.904119283786          
48415.00000757298         0.7000000000573702        30.00000000000325            59.99999999999707             90.00000000851865            14524.49999949432         82305.50001565165         117436.3620954608             151.3275635641938         117.3691316117013         
48415.00002803145         0.7000000002111059        30.00000000000121            60.00000000000812             90.00000003197204            14524.49999818874         82305.50005787416         117436.3621698975             152.2250733351191         119.0416490150269         
48415.00008836678         0.7000000006650765        30.000000000002              60.00000000000395             90.0000001069466             14524.49999431036         82305.50018242322         117436.3623894233             155.045516181563          124.4442368165999         
48415.0001443351          0.7000000010860711        29.99999999999869            60.00000000001512             90.00000018620707            14524.4999907184          82305.50029795179         117436.3625930601             157.9588260064229         130.2546126007637         
48415.00019038869         0.7000000014328925        30.00000000000581            59.99999999999412             90.00000026136709            14524.49998774311         82305.50039303426         117436.3627606228             160.6660038633267         135.8557594363251         
48415.00022837646         0.7000000017186547        30.00000000000256            60.00000000000291             90.00000033308885            14524.49998530427         82305.50047144866         117436.3628988386             163.2089910464142         141.2844660923163         
48415.00025960078         0.7000000019534708        30.0000000000019             60.00000000000453             90.00000040201085            14524.49998330295         82305.50053589861         117436.363012446              165.6206322418423         146.5711695691394         
48415.00028502742         0.7000000021447906        29.99999999999924            60.00000000000884             90.00000046863545            14524.49998166819         82305.50058838665         117436.3631049591             167.9273374708012         151.7416146113522         
48415.00030539199         0.7000000022980809        30.0000000000025             60.00000000000393             90.00000053341374            14524.49998035601         82305.50063042797         117436.3631790541             170.150895988283          156.8180473158959         
48415.00032124385         0.7000000024174059        30.00000000000157            60.00000000000497             90.00000059671437            14524.49997933445         82305.50066315326         117436.36323673               172.3097543055329         161.8201001555915         
48415.00033300258         0.7000000025057037        30.0000000000007             60.00000000000546             90.00000065889498            14524.49997858713         82305.50068741804         117436.3632795133             174.419947876641          166.7654691599705         
48415.00034091641         0.7000000025653464        30.0000000000026             60.0000000000044              90.0000007203048             14524.49997807367         82305.50070375914         117436.3633083072             176.4958060800444         171.6704501299335         
48415.00034519623         0.7000000025975199        30.00000000000075            60.00000000000487             90.00000078120867            14524.49997779994         82305.50071259252         117436.363323879              178.5505091846042         176.5503800620983         
48415.00034592076         0.7000000026030874        30.00000000000391            60.00000000000493             90.00000084192355            14524.49997774775         82305.50071409375         117436.3633265152             180.5965516918015         181.4200172153055         
48415.00034313334         0.7000000025820476        30.00000000000151            60.00000000000454             90.00000090268847            14524.49997793016         82305.50070833652         117436.3633163733             182.6461522150549         186.2938855654655         
48415.00033674712         0.7000000025339956        30.00000000000056            60.00000000000384             90.00000096386269            14524.49997834074         82305.5006951535          117436.3632931376             184.7116423699664         191.1866051524705         
48415.00032662336         0.700000002457856         30.00000000000138            60.0000000000043              90.00000102567263            14524.49997898991         82305.50067425681         117436.363256303              186.8058642252955         196.1132281904436         
48415.00031252722         0.7000000023517051        29.99999999999854            60.00000000000126             90.00000108847793            14524.49997990036         82305.50064515408         117436.3632050152             188.9426070501624         201.0896014753431         
48415.00029409526         0.70000000221299          30.00000000000186            60.00000000000485             90.00000115260026            14524.49998108667         82305.50060710385         117436.3631379518             191.1371196529421         206.1327787121702         
48415.00027084735         0.7000000020382398        30.00000000000083            60.00000000000282             90.00000121838846            14524.49998257283         82305.50055912187         117436.3630533659             193.4067458026157         211.2615124909132         
48415.00024214571         0.7000000018221888        30.00000000000513            60.0000000000114              90.00000128631027            14524.49998442244         82305.50049986898         117436.362948937              195.7717497438839         216.4968660144235         
48415.00020712234         0.7000000015587783        30.00000000000157            60.00000000000394             90.00000135679031            14524.49998666845         82305.50042757622         117436.362821507              198.2564317407684         221.8630015975381         
48415.00016460702         0.700000001238767         30.00000000000424            60.00000000001202             90.00000143043752            14524.4999894072          82305.50033980684         117436.362666818              200.8906893729971         227.3882304882015         
48415.00011302995         0.7000000008506118        30.00000000000325            60.00000000000998             90.00000150789006            14524.49999272662         82305.50023333328         117436.3624791585             203.7122769596352         233.1064541021953         
48415.0000502058          0.7000000003780226        30.00000000000173            60.00000000000418             90.0000015899552             14524.49999675978         82305.50010365182         117436.3622505773             206.7701884280192         239.0592041050255         
48414.99997310249         0.6999999997979716        30.00000000000236            60.00000000000764             90.00000167758495            14524.50000171195         82305.49994449301         117436.3619700424             210.129911125069          245.2986246707377         
48414.99987730164         0.6999999990771235        30.00000000000233            60.00000000000886             90.00000177198034            14524.50000787156         82305.49974673173         117436.3616214778             213.8819276990364         251.8919889134764         
48414.99977725611         0.6999999983241296        30.00000000000172            60.00000000000282             90.00000185785257            14524.5000143141          82305.49954019813         117436.3612574692             217.4444827386662         257.791567574255          
48414.99965411914         0.6999999973980032        30.00000000000219            60.00000000001251             90.00000194997392            14524.50002221141         82305.49928602687         117436.360809444              221.4662411530719         264.0427546929878         
48414.99953075185         0.6999999964695726        30.00000000000188            60.00000000000945             90.00000203051096            14524.5000301512          82305.49903135252         117436.360360581              225.1982265901481         269.4735315743578         
48414.99938007344         0.6999999953355066        30.00000000000166            60.00000000001076             90.00000211605506            14524.50003985348         82305.4987202934          117436.3598123483             229.4534222281537         275.25737442617           
